,cash_slots_BTC_ONLY_strategy,cash_slots_BTC_ONLY_buyhold,cash_slots_CORE4_strategy,cash_slots_CORE4_buyhold,cash_slots_POOL12_strategy,cash_slots_POOL12_buyhold,common_sample_BTC_ONLY_strategy,common_sample_BTC_ONLY_buyhold,common_sample_CORE4_strategy,common_sample_CORE4_buyhold,common_sample_POOL12_strategy,common_sample_POOL12_buyhold
2020-03-02,-0.07446178885995958,-0.17536705992444213,-0.08071859382719715,-0.2003671923716157,-0.0815858617509907,-0.21178590606680714,-0.07446178885995958,-0.17536705992444213,,,,
2020-03-03,-0.07446178885995958,-0.13854699565753714,-0.08071859382719715,-0.1642405290403437,-0.0815858617509907,-0.17276798069302657,-0.07446178885995958,-0.13854699565753714,,,,
2020-03-04,-0.07446178885995958,-0.15315495593734185,-0.08071859382719715,-0.18004779813378424,-0.0815858617509907,-0.1681140949768024,-0.07446178885995958,-0.15315495593734185,,,,
2020-03-05,-0.07446178885995958,-0.15403272894601516,-0.08071859382719715,-0.17664493223724476,-0.0815858617509907,-0.164905597601388,-0.07446178885995958,-0.15403272894601516,,,,
2020-03-06,-0.07446178885995958,-0.12467856880464345,-0.08071859382719715,-0.15652637787879486,-0.0815858617509907,-0.1497558763796304,-0.07446178885995958,-0.12467856880464345,,,,
2020-03-07,-0.07446178885995958,-0.11730740229458392,-0.08071859382719715,-0.12882943583637785,-0.0815858617509907,-0.136741809120829,-0.07446178885995958,-0.11730740229458392,,,,
2020-03-08,-0.07446178885995958,-0.14105367562613835,-0.08071859382719715,-0.15518773075057712,-0.0815858617509907,-0.1695222719775501,-0.07446178885995958,-0.14105367562613835,,,,
2020-03-09,-0.07446178885995958,-0.22327142520175247,-0.08071859382719715,-0.25498366329583455,-0.0815858617509907,-0.24430749429221343,-0.07446178885995958,-0.22327142520175247,,,,
2020-03-10,-0.07446178885995958,-0.2334112501885086,-0.08071859382719715,-0.25657789324141766,-0.0815858617509907,-0.2406543705415456,-0.07446178885995958,-0.2334112501885086,,,,
2020-03-11,-0.07446178885995958,-0.23682373776628052,-0.08071859382719715,-0.2568596559684857,-0.0815858617509907,-0.24174387489850913,-0.07446178885995958,-0.23682373776628052,,,,
2020-03-12,-0.07446178885995958,-0.23295592960801825,-0.08071859382719715,-0.266381421509322,-0.0815858617509907,-0.2577850851850535,-0.07446178885995958,-0.23295592960801825,,,,
2020-03-13,-0.07446178885995958,-0.5359780595416246,-0.08071859382719715,-0.516341674567943,-0.0815858617509907,-0.48200791918992214,-0.07446178885995958,-0.5359780595416246,,,,
2020-03-14,-0.07446178885995958,-0.4609574686109146,-0.08071859382719715,-0.45032866286196505,-0.0815858617509907,-0.4200151045456255,-0.07446178885995958,-0.4609574686109146,,,,
2020-03-15,-0.07446178885995958,-0.49997099868914086,-0.08071859382719715,-0.4810456545403261,-0.0815858617509907,-0.45018714126138526,-0.07446178885995958,-0.49997099868914086,,,,
2020-03-16,-0.07446178885995958,-0.48181134453943986,-0.08071859382719715,-0.4729731864073029,-0.0815858617509907,-0.4424679366581358,-0.07446178885995958,-0.48181134453943986,,,,
2020-03-17,-0.07446178885995958,-0.5138548929078262,-0.08071859382719715,-0.505636794466632,-0.0815858617509907,-0.47459850892074684,-0.07446178885995958,-0.5138548929078262,,,,
2020-03-18,-0.07446178885995958,-0.48642158625569876,-0.08071859382719715,-0.4850420354328109,-0.0815858617509907,-0.45913915194688415,-0.07446178885995958,-0.48642158625569876,,,,
2020-03-19,-0.07446178885995958,-0.47862796731745605,-0.08071859382719715,-0.47888550617461056,-0.0815858617509907,-0.4536404729462483,-0.07446178885995958,-0.47862796731745605,,,,
2020-03-20,-0.07446178885995958,-0.404308241399178,-0.08071859382719715,-0.42044759595807857,-0.0815858617509907,-0.4049571466578097,-0.07446178885995958,-0.404308241399178,,,,
2020-03-21,-0.07446178885995958,-0.4001977889400602,-0.08071859382719715,-0.42688888389804913,-0.0815858617509907,-0.4107442987816661,-0.07446178885995958,-0.4001977889400602,,,,
2020-03-22,-0.07446178885995958,-0.40189243220460236,-0.08071859382719715,-0.425961480669078,-0.0815858617509907,-0.40958934849413764,-0.07446178885995958,-0.40189243220460236,,,,
2020-03-23,-0.07446178885995958,-0.4377564199235139,-0.08071859382719715,-0.45658038814183144,-0.0815858617509907,-0.44012334080804316,-0.07446178885995958,-0.4377564199235139,,,,
2020-03-24,-0.07446178885995958,-0.37499758322409515,-0.08071859382719715,-0.41530393841117197,-0.0815858617509907,-0.4056327121650606,-0.07446178885995958,-0.37499758322409515,,,,
2020-03-25,-0.07446178885995958,-0.347983828869065,-0.08071859382719715,-0.40377486209231483,-0.0815858617509907,-0.3961618217117916,-0.07446178885995958,-0.347983828869065,,,,
2020-03-26,-0.07446178885995958,-0.3544868894740709,-0.08071859382719715,-0.4090395487290164,-0.0815858617509907,-0.40184852316057984,-0.07446178885995958,-0.3544868894740709,,,,
2020-03-27,-0.07446178885995958,-0.3487011279576504,-0.08071859382719715,-0.39537812305010955,-0.0815858617509907,-0.3870583704979268,-0.07446178885995958,-0.3487011279576504,,,,
2020-03-28,-0.07446178885995958,-0.3852582470060981,-0.08071859382719715,-0.421272636856569,-0.0815858617509907,-0.4096038344146661,-0.07446178885995958,-0.3852582470060981,,,,
2020-03-29,-0.07446178885995958,-0.39709658209884435,-0.08071859382719715,-0.4259736612235686,-0.0815858617509907,-0.4077847390432824,-0.07446178885995958,-0.39709658209884435,,,,
2020-03-30,-0.07446178885995958,-0.4315259716405849,-0.08071859382719715,-0.4509916618066978,-0.0815858617509907,-0.4306372598258239,-0.07446178885995958,-0.4315259716405849,,,,
2020-03-31,-0.07446178885995958,-0.3818418925868784,-0.08071859382719715,-0.42185673790145783,-0.0815858617509907,-0.4073913734188278,-0.07446178885995958,-0.3818418925868784,,,,
2020-04-01,-0.07446178885995958,-0.3801317819565444,-0.08071859382719715,-0.4161571494452204,-0.0815858617509907,-0.39928177168490886,-0.07446178885995958,-0.3801317819565444,,,,
2020-04-02,-0.07446178885995958,-0.357779504966958,-0.08071859382719715,-0.4059326702238164,-0.0815858617509907,-0.39276406465901503,-0.07446178885995958,-0.357779504966958,,,,
2020-04-03,-0.07446178885995958,-0.34323051401923377,-0.08071859382719715,-0.3928003974089542,-0.0815858617509907,-0.38391557344397165,-0.07446178885995958,-0.34323051401923377,,,,
2020-04-04,-0.07446178885995958,-0.3491168134132997,-0.08071859382719715,-0.39017199608533726,-0.0815858617509907,-0.3825162934823726,-0.07446178885995958,-0.3491168134132997,,,,
2020-04-05,-0.07446178885995958,-0.33708706966888247,-0.08071859382719715,-0.37988152323999225,-0.0815858617509907,-0.3770612900307557,-0.07446178885995958,-0.33708706966888247,,,,
2020-04-06,-0.07446178885995958,-0.3452683394622771,-0.08071859382719715,-0.3841330790780636,-0.0815858617509907,-0.37970756493823365,-0.07446178885995958,-0.3452683394622771,,,,
2020-04-07,-0.07446178885995958,-0.29141097177592434,-0.08086143242970645,-0.321906409363215,-0.08163403419450665,-0.3309496746022088,-0.07446178885995958,-0.29141097177592434,,,,
2020-04-08,-0.07446178885995958,-0.3042276177549893,-0.08458553016810533,-0.3377837799984542,-0.08292767207103824,-0.33508681897226,-0.07446178885995958,-0.3042276177549893,,,,
2020-04-09,-0.07446178885995958,-0.2884760391169682,-0.07984425349518864,-0.32025147219776295,-0.07727900017642919,-0.3103644286941374,-0.07446178885995958,-0.2884760391169682,,,,
2020-04-10,-0.07446178885995958,-0.29589264101404056,-0.08183970288039044,-0.3269972212944703,-0.0766597536435697,-0.3107425026299099,-0.07446178885995958,-0.29589264101404056,,,,
2020-04-11,-0.07446178885995958,-0.3369410964042242,-0.08837076980967185,-0.364175500166666,-0.07968334067187577,-0.33829131901671106,-0.07446178885995958,-0.3369410964042242,,,,
2020-04-12,-0.07446178885995958,-0.33520875143556494,-0.0880817353583333,-0.36216458128264173,-0.078936995619585,-0.33489454248925987,-0.07446178885995958,-0.33520875143556494,,,,
2020-04-13,-0.07446178885995958,-0.3326034670100423,-0.08795389319716451,-0.35608568922976536,-0.07778482278602339,-0.328585798428935,-0.07446178885995958,-0.3326034670100423,,,,
2020-04-14,-0.07446178885995958,-0.3389595876400281,-0.0892211980991866,-0.3518964413769601,-0.07857853372916879,-0.329928839267151,-0.07446178885995958,-0.3389595876400281,,,,
2020-04-15,-0.07446178885995958,-0.33600822090491833,-0.08816385673172888,-0.3421426636849919,-0.07932824124189541,-0.3307277812734929,-0.07446178885995958,-0.33600822090491833,,,,
2020-04-16,-0.07446178885995958,-0.35991690157728473,-0.09819345129058621,-0.36565229360025864,-0.08391182672863007,-0.3485028659227636,-0.07446178885995958,-0.35991690157728473,,,,
2020-04-17,-0.07446178885995958,-0.3134432676356972,-0.07964427399325857,-0.3194970565543491,-0.07432524509673866,-0.30996660033463985,-0.07446178885995958,-0.3134432676356972,,,,
2020-04-18,-0.07446178885995958,-0.3207138962681114,-0.08121337926323824,-0.32414306114849933,-0.07513606351366031,-0.313993699306795,-0.07446178885995958,-0.3207138962681114,,,,
2020-04-19,-0.07446178885995958,-0.2992703270187813,-0.06545383979691588,-0.28883799847071134,-0.06679401509251526,-0.283772445161671,-0.07446178885995958,-0.2992703270187813,,,,
2020-04-20,-0.07446178885995958,-0.31156688282310363,-0.0731948973213743,-0.3063553081777186,-0.07118010661200047,-0.3009536298978598,-0.07446178885995958,-0.31156688282310363,,,,
2020-04-21,-0.07446178885995958,-0.33983542722797755,-0.08579050749395167,-0.3361325541979392,-0.07687114305834308,-0.3235514161765629,-0.07446178885995958,-0.33983542722797755,,,,
2020-04-22,-0.07446178885995958,-0.3386386397998524,-0.0844857718754276,-0.3335473802655188,-0.07617709493871372,-0.3205482650701281,-0.07446178885995958,-0.3386386397998524,,,,
2020-04-23,-0.07446178885995958,-0.311207266568449,-0.07406094672148678,-0.30708463695280375,-0.07064199972931895,-0.29756158110645714,-0.07446178885995958,-0.311207266568449,,,,
2020-04-24,-0.07446178885995958,-0.276517831939337,-0.0702253560762035,-0.29233727949659527,-0.0686984838363004,-0.2789818465965469,-0.07446178885995958,-0.276517831939337,,,,
2020-04-25,-0.07446178885995958,-0.2744838733377416,-0.06987674689172751,-0.2908125068196904,-0.06772570288862456,-0.27435965503842574,-0.07446178885995958,-0.2744838733377416,,,,
2020-04-26,-0.07446178885995958,-0.2711941579759406,-0.0642806856359186,-0.27906526979337976,-0.06522391428556973,-0.2675832433760238,-0.07446178885995958,-0.2711941579759406,,,,
2020-04-27,-0.07446178885995958,-0.25630005142899126,-0.06158377211768584,-0.2704925271395313,-0.06177821183918464,-0.2520492531050893,-0.07446178885995958,-0.25630005142899126,,,,
2020-04-28,-0.07538846227028884,-0.24852673340835008,-0.06202480257693177,-0.2694257300377988,-0.06378685149839869,-0.25346175295608797,-0.07538846227028884,-0.24852673340835008,,,,
2020-04-29,-0.07816444568256964,-0.25190345270272896,-0.06328182638293411,-0.2712087003007373,-0.062288896319412146,-0.2468007957529723,-0.07816444568256964,-0.25190345270272896,,,,
2020-04-30,0.0,-0.15136557505732595,-0.026422895631408427,-0.21507937592600934,-0.032826282132602635,-0.20204829364564814,0.0,-0.15136557505732595,,,,
2020-05-01,-0.012546490962632495,-0.166695667977526,-0.03735729594567294,-0.23414160452872246,-0.050703457111899386,-0.22989650020820396,-0.012546490962632495,-0.166695667977526,,,,
2020-05-02,0.0,-0.14681333596278556,-0.02683038115093417,-0.217067531934944,-0.03855587606638311,-0.21162797249164866,0.0,-0.14681333596278556,,,,
2020-05-03,0.0,-0.13261139403501054,-0.022608502951219855,-0.21099760878540674,-0.03171485739946789,-0.2025391291822718,0.0,-0.13261139403501054,,,,
2020-05-04,-0.00611140129786647,-0.14019330340398073,-0.02914889371591889,-0.22219055286495915,-0.039944739101779536,-0.2161301560929646,-0.00611140129786647,-0.14019330340398073,,,,
2020-05-05,-0.00784360135972495,-0.14234230053865105,-0.032044694247104655,-0.22766313697262008,-0.04055561577733535,-0.21634721389262912,-0.00784360135972495,-0.14234230053865105,,,,
2020-05-06,0.0,-0.1278957808892962,-0.03077476705728066,-0.22732990604706127,-0.041798280997050075,-0.21942281836279587,0.0,-0.1278957808892962,,,,
2020-05-07,0.0,-0.11609804763175302,-0.03543903139643323,-0.237974655059084,-0.04721102809471478,-0.2294124639425268,0.0,-0.11609804763175302,,,,
2020-05-08,0.0,-0.03461403122087803,-0.008303984850347779,-0.19768595661918853,-0.02640623272952347,-0.19885980778049195,0.0,-0.03461403122087803,,,,
2020-05-09,-0.013452625989097355,-0.05262191184374865,-0.011252489336291083,-0.20092207597524048,-0.02675775721574447,-0.19775073496713613,-0.013452625989097355,-0.05262191184374865,,,,
2020-05-10,-0.032295546179538115,-0.07784531860840116,-0.01917655115069561,-0.21190780450190383,-0.029530459279989762,-0.1978170884905579,-0.032295546179538115,-0.07784531860840116,,,,
2020-05-11,-0.09124863923128768,-0.1567607855875085,-0.056248449331202766,-0.2714759181712001,-0.06260241274870104,-0.2475556591046164,-0.09124863923128768,-0.1567607855875085,,,,
2020-05-12,-0.10378360518556717,-0.17229872123553314,-0.0623557839910408,-0.27991184349419096,-0.0692240687599428,-0.258394577831369,-0.10378360518556717,-0.17229872123553314,,,,
2020-05-13,-0.10378360518556717,-0.1482324667741649,-0.06014911712216875,-0.26215294158308977,-0.06191086368098664,-0.2402461972664528,-0.10378360518556717,-0.1482324667741649,,,,
2020-05-14,-0.10378360518556717,-0.10005548917477747,-0.05467969596607258,-0.23529852403286433,-0.055564881813644385,-0.22303112064932218,-0.10378360518556717,-0.10005548917477747,,,,
2020-05-15,-0.10378360518556717,-0.05340011368513875,-0.05263422138736995,-0.21904645892424124,-0.05269167084899129,-0.21413964889970372,-0.10378360518556717,-0.05340011368513875,,,,
2020-05-16,-0.10378360518556717,-0.09941649362551197,-0.057314356157118884,-0.24636815729594208,-0.059266793539316076,-0.23344235787770007,-0.10378360518556717,-0.09941649362551197,,,,
2020-05-17,-0.10378360518556717,-0.09314737692810404,-0.054218352514897705,-0.23459195529032573,-0.05621791330533865,-0.22456130311724276,-0.10378360518556717,-0.09314737692810404,,,,
2020-05-18,-0.10378360518556717,-0.06411706475799372,-0.0505609550345002,-0.2177981136419087,-0.05404128293777155,-0.2169316153837455,-0.10378360518556717,-0.06411706475799372,,,,
2020-05-19,-0.10378360518556717,-0.05901090062604164,-0.04616985471608981,-0.20370779695330865,-0.04735254202194972,-0.20140381507270855,-0.10378360518556717,-0.05901090062604164,,,,
2020-05-20,-0.10378360518556717,-0.05502805393470467,-0.046347722070759545,-0.19677808061883295,-0.04429061223473951,-0.19316843714744225,-0.10378360518556717,-0.05502805393470467,,,,
2020-05-21,-0.10378360518556717,-0.08052020617998601,-0.04891012364897118,-0.21123370894247573,-0.04646147342570073,-0.19763886308894774,-0.10378360518556717,-0.08052020617998601,,,,
2020-05-22,-0.10378360518556717,-0.12343441256878152,-0.05517438954624798,-0.24290597703374894,-0.05815354676632434,-0.22876933915068842,-0.10378360518556717,-0.12343441256878152,,,,
2020-05-23,-0.10378360518556717,-0.11352659806889942,-0.05037197097016355,-0.2250090824017693,-0.04814801132297164,-0.20524176180058384,-0.10378360518556717,-0.11352659806889942,,,,
2020-05-24,-0.10378360518556717,-0.11265559203275999,-0.05079440593750428,-0.22692955703704187,-0.04951964483494142,-0.21076282491509446,-0.10378360518556717,-0.11265559203275999,,,,
2020-05-25,-0.10378360518556717,-0.15720837248510322,-0.05451850367590294,-0.25049521621366777,-0.06006517580945192,-0.23532449211124673,-0.10378360518556717,-0.15720837248510322,,,,
2020-05-26,-0.10378360518556717,-0.13959394297955596,-0.052117294387860946,-0.23672035570022554,-0.05239429508571769,-0.21921097084889052,-0.10378360518556717,-0.13959394297955596,,,,
2020-05-27,-0.10378360518556717,-0.1453313689778779,-0.0539515514828931,-0.24376347453659697,-0.05521191063226227,-0.22519701455288188,-0.10378360518556717,-0.1453313689778779,,,,
2020-05-28,-0.10378360518556717,-0.1102330158656506,-0.049855043970654545,-0.22450623830990624,-0.05137238807615141,-0.21375160970754714,-0.10378360518556717,-0.1102330158656506,,,,
2020-05-29,-0.10378360518556717,-0.07429072460741892,-0.043212809944704444,-0.1958192343892996,-0.036805372929805236,-0.18017897974997288,-0.10378360518556717,-0.07429072460741892,,,,
2020-05-30,-0.10378360518556717,-0.08872081018062017,-0.042996034106200676,-0.19933794825955298,-0.03790090368050314,-0.18484970890225727,-0.10378360518556717,-0.08872081018062017,,,,
2020-05-31,-0.10378360518556717,-0.0625113588467534,-0.030391302987281765,-0.15835539123858877,-0.014571102971456251,-0.13623196125019044,-0.10378360518556717,-0.0625113588467534,,,,
2020-06-01,-0.10378360518556717,-0.08662594882622021,-0.042493463826796196,-0.18500250481427094,-0.02524793777337686,-0.15643742397599436,-0.10378360518556717,-0.08662594882622021,,,,
2020-06-02,-0.10463739878548373,-0.013693452277376505,-0.026252859215498137,-0.13991077686051856,-0.004591084414925284,-0.11311854587236503,-0.10463739878548373,-0.013693452277376505,,,,
2020-06-03,-0.14283535076274267,-0.07988314405144459,-0.047593027345380845,-0.1742414985818096,-0.01830393727141444,-0.13495816026921603,-0.14283535076274267,-0.07988314405144459,,,,
2020-06-04,-0.1345618893740449,-0.06554682938335488,-0.03912207849241489,-0.15970298478152045,-0.00634880805784388,-0.11374544235854911,-0.1345618893740449,-0.06554682938335488,,,,
2020-06-05,-0.12776571225758393,-0.0537703637537752,-0.0386097669960197,-0.15934732821621456,-0.0030015000635501554,-0.10941994997411963,-0.12776571225758393,-0.0537703637537752,,,,
2020-06-06,-0.1370807483200981,-0.0699115266676722,-0.04131654364592874,-0.16470236899092272,-0.008847952197311715,-0.12048772759865345,-0.1370807483200981,-0.0699115266676722,,,,
2020-06-07,-0.13453232137312765,-0.06549559373417024,-0.04078702304186821,-0.16305589801680365,-0.007041677996850626,-0.11737706475010734,-0.13453232137312765,-0.06549559373417024,,,,
2020-06-08,-0.13006141647973435,-0.05774837689330248,-0.03933190926929431,-0.15978775125581657,-0.002531765547181597,-0.11136270712700846,-0.13006141647973435,-0.05774837689330248,,,,
2020-06-09,-0.12810825475877463,-0.054363923916027734,-0.03752911062416542,-0.15653147115505905,-0.0017728874335269929,-0.10760345846221464,-0.12810825475877463,-0.054363923916027734,,,,
2020-06-10,-0.12864159454890256,-0.055288099022075765,-0.039736459027902904,-0.16061259096565217,-0.007914450110429794,-0.11858194164055735,-0.12864159454890256,-0.055288099022075765,,,,
2020-06-11,-0.12234974710846191,-0.044385539559721576,-0.035602541349042505,-0.15313523548235697,-0.005311294956495183,-0.11432234882847692,-0.12234974710846191,-0.044385539559721576,,,,
2020-06-12,-0.15617665593127394,-0.10300105564771544,-0.06380696086847737,-0.19937249496208553,-0.03579051617285933,-0.17096545027875798,-0.15617665593127394,-0.10300105564771544,,,,
