scope,mode,start,end,data_start,avg_exposure,turnover,cagr,sharpe,mdd,calmar,vol,final
BNBUSDT,gross,2020-01-01,2026-05-22,2020-01-01,0.2981539987039398,42.73228436892596,0.48695764516310636,1.0477040306724896,-0.45148523698482856,1.0785682571044284,0.47619140748832783,12.6268457556637
BNBUSDT,net_cost_model,2020-01-01,2026-05-22,2020-01-01,0.2981539987039398,42.73228436892596,0.4723303496271971,1.0259762763675135,-0.4623257604617985,1.021639696553801,0.4770751061333715,11.853669853908725
TRXUSDT,gross,2020-01-01,2026-05-22,2020-01-01,0.32984725117064206,42.97840408583285,0.38111398233823635,0.9614816903363486,-0.39399202666988953,0.9673139468316114,0.41819492333429065,7.876193365801322
TRXUSDT,net_cost_model,2020-01-01,2026-05-22,2020-01-01,0.32984725117064206,42.97840408583285,0.36738961192656827,0.9366152184980739,-0.3994649586789244,0.919704229230937,0.4189806539609273,7.389135746507746
ADAUSDT,gross,2020-01-01,2026-05-22,2020-01-01,0.1767441197125717,16.274104071755993,0.5949803299595375,1.38108240767646,-0.3679549454770773,1.6169923445059482,0.39212875937441233,19.76822335824395
ADAUSDT,net_cost_model,2020-01-01,2026-05-22,2020-01-01,0.1767441197125717,16.274104071755993,0.5892017662663573,1.370823450323411,-0.3718814535549153,1.584380615473072,0.39253057075688985,19.314893759463104
LINKUSDT,gross,2020-01-01,2026-05-22,2020-01-01,0.16417296686055055,20.362678086878013,0.2712560995305846,0.88003659309075,-0.42036473963848653,0.6452874705044593,0.3349668031919525,4.636975572588241
LINKUSDT,net_cost_model,2020-01-01,2026-05-22,2020-01-01,0.16417296686055055,20.362678086878013,0.2653460666458889,0.8653808295029771,-0.427435716023164,0.6207859022981341,0.3354392758202357,4.5009021104111415
AVAXUSDT,gross,2020-01-01,2026-05-22,2020-09-22,0.09705441729476673,15.017560419663095,0.5273314091890604,1.1710949170942622,-0.3257502907104195,1.6188209933413058,0.43297866055005896,14.985154702311553
AVAXUSDT,net_cost_model,2020-01-01,2026-05-22,2020-09-22,0.09705441729476673,15.017560419663095,0.5222697416136606,1.1627967262330188,-0.3298576624072663,1.5833185071469653,0.43334611690017577,14.670550289681564
NEARUSDT,gross,2020-01-01,2026-05-22,2020-10-14,0.10331015912291047,15.290036040977375,0.2168106089719226,0.6990085872020967,-0.43287486027554933,0.5008620940331586,0.3780580365964331,3.5053118199288864
NEARUSDT,net_cost_model,2020-01-01,2026-05-22,2020-10-14,0.10331015912291047,15.290036040977375,0.21265857730328208,0.6895581045623929,-0.4388903446780319,0.4845369233613182,0.3785423989496922,3.429560059979371
LTCUSDT,gross,2020-01-01,2026-05-22,2020-01-01,0.1767663549449776,34.99164609465048,-0.08573938679068904,-0.09685252189521067,-0.6085912189491225,-0.14088173493324221,0.33648300524042074,0.563855784391186
LTCUSDT,net_cost_model,2020-01-01,2026-05-22,2020-01-01,0.1767663549449776,34.99164609465048,-0.09325811965209307,-0.11999588909692452,-0.6223653379932574,-0.14984465547646456,0.33744924326674813,0.5348659742975853
AAVEUSDT,gross,2020-01-01,2026-05-22,2020-10-15,0.15300356282456895,22.19734796245889,0.05888675388570075,0.3355378686930073,-0.6055260046032143,0.09724892645079336,0.324347616611479,1.4415597801568656
AAVEUSDT,net_cost_model,2020-01-01,2026-05-22,2020-10-15,0.15300356282456895,22.19734796245889,0.05334794326316872,0.3193859644478561,-0.6108749841880261,0.08733037797263658,0.32479770815868,1.3940370879308583
UNIUSDT,gross,2020-01-01,2026-05-22,2020-09-17,0.12936617676077122,13.182707314725354,0.2475329519330538,0.7481504287176524,-0.3455141472574291,0.7164191507001496,0.3879762220883785,4.110962319980846
UNIUSDT,net_cost_model,2020-01-01,2026-05-22,2020-09-17,0.12936617676077122,13.182707314725354,0.2438441835111962,0.7400981308194775,-0.3487020599411118,0.6992909177318201,0.38840964260051086,4.033883683953512
MULTI_EQUAL_WEIGHT,gross,2020-01-01,2026-05-22,BTCUSDT:2020-01-01; ETHUSDT:2020-01-01; SOLUSDT:2020-08-11; XRPUSDT:2020-01-01; DOGEUSDT:2020-01-01; BNBUSDT:2020-01-01; TRXUSDT:2020-01-01; ADAUSDT:2020-01-01; LINKUSDT:2020-01-01; AVAXUSDT:2020-09-22; NEARUSDT:2020-10-14; LTCUSDT:2020-01-01; AAVEUSDT:2020-10-15; UNIUSDT:2020-09-17,0.1935525824807365,,0.373826842746545,1.6232538957723563,-0.24962082626378435,1.4975787410923285,0.2091048415062451,7.614319523293777
MULTI_EQUAL_WEIGHT,net_cost_model,2020-01-01,2026-05-22,BTCUSDT:2020-01-01; ETHUSDT:2020-01-01; SOLUSDT:2020-08-11; XRPUSDT:2020-01-01; DOGEUSDT:2020-01-01; BNBUSDT:2020-01-01; TRXUSDT:2020-01-01; ADAUSDT:2020-01-01; LINKUSDT:2020-01-01; AVAXUSDT:2020-09-22; NEARUSDT:2020-10-14; LTCUSDT:2020-01-01; AAVEUSDT:2020-10-15; UNIUSDT:2020-09-17,0.1935525824807365,,0.3654716881837654,1.5920854173196441,-0.2575743741688086,1.418897704257813,0.2094063632165204,7.323140501056406
