side,date,price,signal,usdt,btc,kind
SELL,2021-04-19,55633.14,1.9400163499542977,102.9663719227404,0.0018517358693608157,weekly
SELL,2021-04-26,54001.39,1.829243983790235,84.9543657974762,0.0015739754889566916,weekly
SELL,2021-05-03,57169.39,1.724429376350195,38.22374646195917,0.000668939582806588,weekly
SELL,2021-05-10,55816.14,1.6376357279032525,34.52003484831364,0.0006187691140960961,weekly
BUY,2021-06-14,40516.29,0.9295451387433313,166.66666666666669,0.004111514981587241,weekly
BUY,2021-06-21,31608.93,0.8879843756370924,166.66666666666669,0.005270135159062117,weekly
BUY,2021-06-28,34494.89,0.8495724807650699,500.00000000000006,0.014487653098763325,weekly
BUY,2021-07-05,33690.14,0.8256948464727852,500.00000000000006,0.014833716927267149,weekly
BUY,2021-07-12,33086.63,0.8049509353126664,750.0000000000001,0.022656432522744085,weekly
BUY,2021-07-19,30839.65,0.7639093550478587,750.0000000000001,0.02430718247450928,weekly
BUY,2021-07-26,37237.6,0.7527881160955336,750.0000000000001,0.02013086235417965,weekly
BUY,2021-08-02,39147.82,0.7790370297192759,750.0000000000001,0.01914857583385231,weekly
BUY,2021-08-09,46253.4,0.8142901477375405,500.00000000000006,0.010804611120479793,weekly
BUY,2021-08-16,45901.29,0.8810780026491224,166.66666666666669,0.0036291645252962026,weekly
BUY,2021-08-23,49488.85,0.9559427075213477,166.66666666666669,0.0033660780829082378,weekly
BUY,2022-01-10,41822.49,0.9937471232433452,166.66666666666669,0.00398310414643732,weekly
BUY,2022-01-17,42201.62,0.9606013519211805,166.66666666666669,0.003947320821649343,weekly
BUY,2022-01-24,36660.35,0.9090994444624043,166.66666666666669,0.004543964619359427,weekly
BUY,2022-01-31,38466.9,0.8505792367408237,166.66666666666669,0.004330562986186393,weekly
BUY,2022-02-07,43839.99,0.8197850345440665,500.00000000000006,0.011399409534536848,weekly
BUY,2022-02-14,42535.94,0.8188652570881654,500.00000000000006,0.011748888116731405,weekly
BUY,2022-02-21,37008.16,0.815842260750339,500.00000000000006,0.013503778626119213,weekly
BUY,2022-02-28,43160.0,0.8207007120391399,500.00000000000006,0.011579008341056535,weekly
BUY,2022-03-07,37988.0,0.8346893055875545,500.00000000000006,0.013155470148467938,weekly
BUY,2022-03-14,39671.37,0.8167414005869471,500.00000000000006,0.012597245822365096,weekly
BUY,2022-03-21,41002.25,0.8136147534479963,500.00000000000006,0.012188355517075283,weekly
BUY,2022-03-28,47122.21,0.8433166767295307,500.00000000000006,0.010605402420641988,weekly
BUY,2022-04-04,46580.51,0.8716377574034132,166.66666666666669,0.0035762453724386732,weekly
BUY,2022-04-11,39530.45,0.8960122479168469,166.66666666666669,0.0042140510248007135,weekly
BUY,2022-04-18,40801.13,0.8992829118561907,166.66666666666669,0.0040828117587266176,weekly
BUY,2022-04-25,40426.08,0.8903288305628757,166.66666666666669,0.0041206897461572665,weekly
BUY,2022-05-02,38525.16,0.8570552386714803,166.66666666666669,0.004324014055576494,weekly
BUY,2022-05-09,30076.31,0.8245227691789406,500.00000000000006,0.016616067596058163,weekly
BUY,2022-05-16,29874.01,0.7795527974060168,500.00000000000006,0.01672858782600662,weekly
BUY,2022-05-23,29109.15,0.7382150659373923,500.00000000000006,0.01716814128890744,weekly
BUY,2022-05-30,31734.22,0.702797003541226,500.00000000000006,0.01574798435253805,weekly
BUY,2022-06-06,31373.1,0.6833424508253734,1000.0000000000001,0.03185850298504133,weekly
BUY,2022-06-13,22487.41,0.6927371139462996,1000.0000000000001,0.04444709283994912,weekly
BUY,2022-06-20,20573.89,0.6597010087840778,1000.0000000000001,0.048580992704831225,weekly
BUY,2022-06-27,20742.56,0.6282799455134015,1000.0000000000001,0.04818595197506962,weekly
BUY,2022-07-04,20236.71,0.5845009081357291,1000.0000000000001,0.04939043945384404,weekly
BUY,2022-07-11,19963.61,0.5468236584696052,1666.666666666667,0.08344349210054362,weekly
BUY,2022-07-18,22432.58,0.545085387411237,1666.666666666667,0.07425955165804975,weekly
BUY,2022-07-25,21310.9,0.5754139527914454,1000.0000000000001,0.046900881708421514,weekly
BUY,2022-08-01,23268.01,0.6062279085795859,1000.0000000000001,0.042955972599289766,weekly
BUY,2022-08-08,23810.0,0.6379921242469975,1000.0000000000001,0.04197816043679127,weekly
BUY,2022-08-15,24094.82,0.6753955633692124,1000.0000000000001,0.041481945081971984,weekly
BUY,2022-08-22,21399.83,0.6886741678698542,1000.0000000000001,0.04670597850543673,weekly
BUY,2022-08-29,20285.73,0.687816231016055,1000.0000000000001,0.0492710885928187,weekly
BUY,2022-09-05,19796.84,0.6781192968950389,1000.0000000000001,0.05048785563756641,weekly
BUY,2022-09-12,22395.74,0.6678280116091343,1000.0000000000001,0.044629023198161796,weekly
BUY,2022-09-19,19537.02,0.6596063901830431,1000.0000000000001,0.0511592863189985,weekly
BUY,2022-09-26,19227.82,0.6585287074282752,1000.0000000000001,0.05198197195521906,weekly
BUY,2022-10-03,19629.08,0.6690201768634331,1000.0000000000001,0.05091935027010945,weekly
BUY,2022-10-10,19131.87,0.6855861576357262,1000.0000000000001,0.05224267152139337,weekly
BUY,2022-10-17,19549.86,0.6909377629778437,1000.0000000000001,0.05112568581053778,weekly
BUY,2022-10-24,19329.72,0.7114053915664669,500.00000000000006,0.025853969948866306,weekly
BUY,2022-10-31,20490.74,0.7446062241485598,500.00000000000006,0.024389065499830657,weekly
BUY,2022-11-07,20591.13,0.778014233391705,500.00000000000006,0.024270159044209816,weekly
BUY,2022-11-14,16619.46,0.7856333692073362,500.00000000000006,0.03007017075163694,weekly
BUY,2022-11-21,15781.29,0.7842787979372471,750.0000000000001,0.04750086970076591,weekly
BUY,2022-11-28,16212.91,0.7723197817806228,750.0000000000001,0.046236301811334306,weekly
BUY,2022-12-05,16966.35,0.7583530060192234,750.0000000000001,0.04418304467372182,weekly
BUY,2022-12-12,17209.83,0.7617646379597006,500.00000000000006,0.029038636639641416,weekly
BUY,2022-12-19,16438.88,0.7860952283927941,500.00000000000006,0.03040048957106567,weekly
BUY,2022-12-26,16919.39,0.8076490337046777,500.00000000000006,0.029537116881873406,weekly
BUY,2023-01-02,16672.87,0.8244876340295424,500.00000000000006,0.029973843735361702,weekly
BUY,2023-01-09,17178.26,0.837967845626039,500.00000000000006,0.02909200349744387,weekly
BUY,2023-01-16,21185.65,0.87167749733097,166.66666666666669,0.007863026781492819,weekly
BUY,2023-01-23,22916.45,0.9392217191708643,166.66666666666669,0.007269159635691101,weekly
BUY,2023-09-11,25162.52,0.9731572118756736,166.66666666666669,0.006620296112366065,weekly
BUY,2023-09-18,26762.51,0.9506914761428038,166.66666666666669,0.006224503356872481,weekly
BUY,2023-09-25,26304.81,0.9517256773136414,166.66666666666669,0.0063328088411713805,weekly
BUY,2023-10-02,27494.51,0.9510171051156203,166.66666666666669,0.006058785311443388,weekly
BUY,2023-10-09,27590.12,0.9623302417632019,166.66666666666669,0.0060377893729107865,weekly
BUY,2023-10-16,28500.78,0.9680787538772736,166.66666666666669,0.0058448692749227685,weekly
BUY,2023-10-23,33069.99,0.9851127617531051,166.66666666666669,0.0050372961507800075,weekly
SELL,2024-03-11,72078.1,1.5574123855950022,6036.064537768228,0.08378528401564596,weekly
SELL,2024-03-18,67609.99,1.6347508968653177,5378.795360670873,0.07959601981486367,weekly
SELL,2024-03-25,69880.01,1.6684775484512626,5281.420096527932,0.07561621882412049,weekly
SELL,2024-04-01,69649.8,1.687586467139853,5000.820131067435,0.07183540788291447,weekly
SELL,2024-04-08,71620.0,1.6432282514102707,4885.165512287144,0.06824363748876874,weekly
SELL,2024-04-15,63419.99,1.5732608453334944,4109.554461612899,0.0648314556143303,weekly
SELL,2024-04-22,66819.32,1.513327372185746,4113.336392776837,0.0615898828336138,weekly
BUY,2024-08-26,62834.0,0.9851354127974177,166.66666666666669,0.00265116550487528,weekly
BUY,2024-09-02,59132.13,0.9515063745515878,166.66666666666669,0.0028171373724121445,weekly
BUY,2024-09-09,57042.0,0.9372985350431031,250.00000000000003,0.004380544160443182,weekly
BUY,2024-09-16,58213.99,0.9288078833785238,250.00000000000003,0.004292353092443931,weekly
BUY,2024-09-23,63339.99,0.9308360773561879,166.66666666666669,0.0026299867324471216,weekly
BUY,2024-09-30,63327.59,0.9424818955980087,166.66666666666669,0.0026305017028649498,weekly
BUY,2024-10-07,62224.0,0.959406645038489,166.66666666666669,0.0026771556526956376,weekly
BUY,2024-10-14,66083.99,0.9788586401601679,166.66666666666669,0.0025207820129101366,weekly
BUY,2025-04-07,79163.24,0.9870257159060042,166.66666666666669,0.0021043016093496595,weekly
BUY,2025-04-14,84591.58,0.9747006538655012,166.66666666666669,0.0019692661294816024,weekly
BUY,2025-04-21,87516.23,0.9665441380133644,166.66666666666669,0.0019034564598284609,weekly
BUY,2025-04-28,95011.18,0.9753981212098073,166.66666666666669,0.0017533024359168402,weekly
BUY,2025-05-05,94733.68,0.9976128366010897,166.66666666666669,0.0017584383223931907,weekly
BUY,2025-11-17,92215.14,0.9703428192796828,166.66666666666669,0.0018064640289363909,weekly
BUY,2025-11-24,88300.01,0.9221109749341275,166.66666666666669,0.001886560752748877,weekly
BUY,2025-12-01,86286.01,0.8742885223643296,166.66666666666669,0.001930594928810978,weekly
BUY,2025-12-08,90634.34,0.8432173178568478,500.00000000000006,0.005513914483185955,weekly
BUY,2025-12-15,86432.08,0.8231158825480888,500.00000000000006,0.005781996684564343,weekly
BUY,2025-12-22,88620.79,0.8186958185471661,500.00000000000006,0.005639195949392915,weekly
BUY,2025-12-29,87237.13,0.8212124830806576,500.00000000000006,0.005728638711521115,weekly
BUY,2026-01-05,93859.71,0.823121042723135,500.00000000000006,0.005324435798917342,weekly
BUY,2026-01-12,91296.2,0.8291669790236585,500.00000000000006,0.005473940865008621,weekly
BUY,2026-01-19,92631.0,0.8494239814909441,500.00000000000006,0.005395062128229211,weekly
BUY,2026-01-26,88347.08,0.8568336652641645,166.66666666666669,0.0018855556214572495,weekly
BUY,2026-02-02,78738.61,0.8530976540725984,166.66666666666669,0.002115649912201058,weekly
BUY,2026-02-09,70138.0,0.8140148949550734,500.00000000000006,0.007125238814907754,weekly
BUY,2026-02-16,68892.43,0.7657246925076618,500.00000000000006,0.007254062601653042,weekly
BUY,2026-02-23,64656.02,0.722633036653476,500.00000000000006,0.007729365339839973,weekly
BUY,2026-03-02,68830.06,0.6857127145172697,1500.0000000000002,0.021781907497974,weekly
BUY,2026-03-09,68432.16,0.6864248953433058,1500.0000000000002,0.021908558782888048,weekly
BUY,2026-03-16,74884.67,0.7031953876052132,750.0000000000001,0.010010393315480995,weekly
BUY,2026-03-23,70906.45,0.722366568629361,750.0000000000001,0.010572028355671453,weekly
BUY,2026-03-30,66797.37,0.7391511817763907,750.0000000000001,0.011222372976660611,weekly
BUY,2026-04-06,68853.66,0.7480983265261897,750.0000000000001,0.010887220810048443,weekly
BUY,2026-04-13,74417.99,0.7669463677524947,750.0000000000001,0.01007316913558133,weekly
BUY,2026-04-20,75840.97,0.7880446472782547,750.0000000000001,0.009884169466714365,weekly
