period,rank,code,contribution
2008,10,002027,-0.008616608340358939
2008,11,000567,-0.008576408348231765
2008,12,600634,-0.008413338109335254
2008,13,000519,-0.008364828193308364
2008,14,002145,-0.008326683738400897
2008,15,600552,-0.007990769705941429
2008,16,002087,-0.007874200059566286
2008,17,600180,-0.007833476214059129
2008,18,600053,-0.007694453056842667
2008,19,000760,-0.0076818944343483
2008,20,600232,-0.007598541368850866
2016-2018,1,300028,-0.014823367594917716
2016-2018,2,300062,-0.009552328293043347
2016-2018,3,002786,-0.008944584103817344
2016-2018,4,002785,-0.00833682884471558
2016-2018,5,600981,-0.008277430930775877
2016-2018,6,300494,-0.007899927258447492
2016-2018,7,603798,-0.007312674510028853
2016-2018,8,002771,-0.0070543182280255285
2016-2018,9,002708,-0.006946789795924681
2016-2018,10,603081,-0.006792835472216284
2016-2018,11,601968,-0.00677830854668996
2016-2018,12,000628,-0.0064885291629119945
2016-2018,13,002490,-0.00642924310352428
2016-2018,14,300275,-0.006159939268605503
2016-2018,15,300290,-0.006095242234968217
2016-2018,16,603032,-0.006064719081206258
2016-2018,17,002853,-0.006054049198024964
2016-2018,18,300354,-0.005993828333927407
2016-2018,19,002856,-0.00579671629172479
2016-2018,20,603603,-0.005771995267613674
2022-2025,1,301046,-0.009232183628499833
2022-2025,2,300508,-0.007324224389873155
2022-2025,3,301166,-0.007216038948492968
2022-2025,4,605277,-0.007122004168064444
2022-2025,5,003017,-0.006692577642849199
2022-2025,6,300756,-0.006269028646778315
2022-2025,7,300994,-0.006221260210083965
2022-2025,8,002853,-0.0058929887864547
2022-2025,9,301020,-0.005711516549121636
2022-2025,10,300908,-0.0051852188014460225
2022-2025,11,301307,-0.005134674410393503
2022-2025,12,301396,-0.005039254619560431
2022-2025,13,002989,-0.005009321368696169
2022-2025,14,300986,-0.0047753528220582766
2022-2025,15,300950,-0.004721559007901958
2022-2025,16,002072,-0.004668450450230424
2022-2025,17,002591,-0.00458832377720723
2022-2025,18,300791,-0.004559365185175924
2022-2025,19,301051,-0.004474969775472754
2022-2025,20,003011,-0.004365176035211956
2005-2013,1,000665,-0.013707263656946245
2005-2013,2,000923,-0.013189848347404479
2005-2013,3,600634,-0.010330138430380914
2005-2013,4,000985,-0.01021637710652729
2005-2013,5,000801,-0.009657495553751425
2005-2013,6,002098,-0.009219344370722946
2005-2013,7,300008,-0.008951696993346048
2005-2013,8,600490,-0.008884678465575117
2005-2013,9,300111,-0.008335102856500277
2005-2013,10,300094,-0.007992081944854705
2005-2013,11,600792,-0.007934492109047602
2005-2013,12,300087,-0.007792330531935494
2005-2013,13,600180,-0.007514250281293291
