date,strategy,daily_return,entry_pnl,sell_open_pnl,normal_holding_pnl,sell_failed_holding_pnl,suspended_holding_pnl,turnover_rate,holdings,cash_slots,return_events,suspended_positions,is_rebalance,bought,buy_failed,sold,sell_failed,label
2006-08-17,rpe_top100,-0.008167784097538414,0.0,0.0,-0.008454697562748489,-0.0003703703703703709,0.0006572838355804467,0.0,100,0,95,5,False,0,0,0,0,RPE top100 inside size 10%-50%
2006-08-18,rpe_top100,-0.009546869357799649,0.0,0.0,-0.009232184043114334,-0.0003146853146853146,0.0,0.0,100,0,95,5,False,0,0,0,0,RPE top100 inside size 10%-50%
2006-08-21,rpe_top100,0.0027776990880745956,0.0,0.0,0.0022924333673122756,0.000252707581227436,0.00023255813953488414,0.0,100,0,96,4,False,0,0,0,0,RPE top100 inside size 10%-50%
2006-08-22,rpe_top100,0.01056714261973007,0.0,0.0,0.01067277642254697,-0.00010563380281690127,0.0,0.0,100,0,95,5,False,0,0,0,0,RPE top100 inside size 10%-50%
2006-08-23,rpe_top100,-0.008670131238589196,0.0,0.0,-0.004690643338166314,-0.00021352313167259828,-0.003765964768750284,0.0,100,0,97,3,False,0,0,0,0,RPE top100 inside size 10%-50%
2006-08-24,rpe_top100,0.011079611797840479,0.0,0.0,0.010897531062691153,0.00018208073514932587,0.0,0.0,100,0,97,3,False,0,0,0,0,RPE top100 inside size 10%-50%
2006-08-25,rpe_top100,0.0035632661797416736,0.0,0.0,0.004163640193407813,0.0002167466089019543,-0.0008171206225680938,0.0,100,0,98,2,False,0,0,0,0,RPE top100 inside size 10%-50%
2006-08-28,rpe_top100,0.02402699963814623,0.0,0.0,0.023636297737638926,0.0003907019005073042,0.0,0.0,100,0,97,3,False,0,0,0,0,RPE top100 inside size 10%-50%
2006-08-29,rpe_top100,-0.0020739436980269825,0.0,0.0,-0.002359857760424097,0.00028591406239711456,0.0,0.0,100,0,98,2,False,0,0,0,0,RPE top100 inside size 10%-50%
2006-08-30,rpe_top100,0.00828276740574596,0.0,0.0,0.007330056651292541,0.0009527107544534185,0.0,0.0,100,0,97,3,False,0,0,0,0,RPE top100 inside size 10%-50%
2006-08-31,rpe_top100,0.008319994120729292,0.0,0.0,0.0067663814101945495,0.001214629659687283,0.00033898305084745895,0.0,100,0,96,4,False,0,0,0,0,RPE top100 inside size 10%-50%
2006-09-01,rpe_top100,-0.024140017217566378,-0.004645995082973986,-0.00014414791033936947,-0.019349874224253022,0.0,0.0,0.34,100,0,115,2,True,17,0,17,2,RPE top100 inside size 10%-50%
2006-09-04,rpe_top100,0.021748926283502064,0.0,0.0,0.021748926283502064,0.0,0.0,0.0,100,0,97,3,False,0,0,0,0,RPE top100 inside size 10%-50%
2006-09-05,rpe_top100,0.00393399754420068,0.0,0.0,0.0037256642108673475,0.0,0.0002083333333333326,0.0,100,0,98,2,False,0,0,0,0,RPE top100 inside size 10%-50%
2006-09-06,rpe_top100,0.004054046297394987,0.0,0.0,0.004054046297394987,0.0,0.0,0.0,100,0,97,3,False,0,0,0,0,RPE top100 inside size 10%-50%
2006-09-07,rpe_top100,-0.015919583750568584,0.0,0.0,-0.015593850851545783,0.0,-0.00032573289902280034,0.0,100,0,97,3,False,0,0,0,0,RPE top100 inside size 10%-50%
2006-09-08,rpe_top100,0.0016516471352102493,0.0,0.0,0.0018103772939404084,0.0,-0.00015873015873015927,0.0,100,0,96,4,False,0,0,0,0,RPE top100 inside size 10%-50%
2006-09-11,rpe_top100,0.006836218111131269,0.0,0.0,0.006244809519722676,0.0,0.0005914085914085932,0.0,100,0,96,4,False,0,0,0,0,RPE top100 inside size 10%-50%
2006-09-12,rpe_top100,0.0032358818275753797,0.0,0.0,0.0032993281145256314,0.0,-6.344628695025168e-05,0.0,100,0,95,5,False,0,0,0,0,RPE top100 inside size 10%-50%
2006-09-13,rpe_top100,-0.010992178678585384,0.0,0.0,-0.01079386858531731,0.0,-0.0001983100932680748,0.0,100,0,97,3,False,0,0,0,0,RPE top100 inside size 10%-50%
2006-09-14,rpe_top100,0.0015935180376469393,0.0,0.0,0.0017405768611763518,0.0,-0.00014705882352941235,0.0,100,0,98,2,False,0,0,0,0,RPE top100 inside size 10%-50%
2006-09-15,rpe_top100,0.015136813016733528,0.0,0.0,0.015136813016733528,0.0,0.0,0.0,100,0,97,3,False,0,0,0,0,RPE top100 inside size 10%-50%
2006-09-18,rpe_top100,0.017934477137028164,0.0,0.0,0.017776996822067535,0.0,0.00015748031496062964,0.0,100,0,97,3,False,0,0,0,0,RPE top100 inside size 10%-50%
2006-09-19,rpe_top100,-0.0002099862134661323,0.0,0.0,-0.0006626611105854729,0.0,0.0004526748971193406,0.0,100,0,97,3,False,0,0,0,0,RPE top100 inside size 10%-50%
2006-09-20,rpe_top100,0.0015886199637685338,0.0,0.0,0.0021165377909847438,0.0,-0.00052791782721621,0.0,100,0,98,2,False,0,0,0,0,RPE top100 inside size 10%-50%
