strategy,label,family,period,ann_return,cumulative_return,max_drawdown,worst_12m,observations
cant_sell20_eq0,cant-sell20 = 0,state,ex_2008,0.33282017547089193,112.09857846629441,-0.567902112996318,-0.4480443214513229,4855
cant_sell20_eq0,cant-sell20 = 0,state,2008,-0.5337499138619797,-0.5843798695614484,-0.720198408847606,,246
cant_sell20_eq0,cant-sell20 = 0,state,2014-2015,1.0606314211930514,2.7675714510078033,-0.39103136206307665,0.588496325265371,489
cant_sell20_eq0,cant-sell20 = 0,state,2016-2018,-0.1731020443049044,-0.4840570411264613,-0.5679021129963177,-0.4480443214513229,731
cant_sell20_eq0,cant-sell20 = 0,state,2022-2025,0.25426553166270205,0.9935389437723499,-0.4459790948273884,-0.34856389683691,969
limit_down20_eq0,limit-down20 = 0,state,full_sample,0.27117486143238034,48.88404556669906,-0.7139673978146663,-0.6439431481735428,5101
limit_down20_eq0,limit-down20 = 0,state,ex_2008,0.33332201904828973,112.2993043056543,-0.5823609738514097,-0.44928909573670595,4855
limit_down20_eq0,limit-down20 = 0,state,2008,-0.5053681581773843,-0.5597144583330877,-0.7082109316824069,,246
limit_down20_eq0,limit-down20 = 0,state,2014-2015,1.071343701793829,2.786832300634695,-0.4071399395898193,0.6015117346038903,489
limit_down20_eq0,limit-down20 = 0,state,2016-2018,-0.17328106982660763,-0.48450760593648423,-0.5644754765443875,-0.44928909573670595,731
limit_down20_eq0,limit-down20 = 0,state,2022-2025,0.25280761857346934,0.9849909604398133,-0.4459790948273882,-0.34823729198152065,969
one_price20_eq0,one-price20 = 0,state,full_sample,0.3094033058041554,83.27012729666343,-0.6686536667468326,-0.5938215286390018,5101
one_price20_eq0,one-price20 = 0,state,ex_2008,0.3622128929637962,160.08707968070084,-0.5679480461372964,-0.454684653796949,4855
one_price20_eq0,one-price20 = 0,state,2008,-0.40072369524353113,-0.4768660064873014,-0.6686536667468326,,246
one_price20_eq0,one-price20 = 0,state,2014-2015,1.1737440685006697,3.0166040963242367,-0.450792746708814,0.5597505314600701,489
one_price20_eq0,one-price20 = 0,state,2016-2018,-0.15991753778196705,-0.4665279072584997,-0.5679480461372968,-0.454684653796949,731
one_price20_eq0,one-price20 = 0,state,2022-2025,0.25005752145440097,0.9732695800433491,-0.44106134548735565,-0.3416764908064871,969
guard_loose_v1,guard loose,composite,full_sample,0.21774213292624633,20.185770676122996,-0.6693135962866483,-0.6146256760829322,5101
guard_loose_v1,guard loose,composite,ex_2008,0.2842346499207684,53.74638294507261,-0.6191667325983523,-0.5089664698016542,4855
guard_loose_v1,guard loose,composite,2008,-0.574523558918016,-0.6130197186291022,-0.6693135962866485,,246
guard_loose_v1,guard loose,composite,2014-2015,1.0596383607703412,2.7167250477519613,-0.4268444742288282,0.5030177095462425,489
guard_loose_v1,guard loose,composite,2016-2018,-0.20434470177610353,-0.5453042284399859,-0.6191667325983516,-0.5089664698016542,731
guard_loose_v1,guard loose,composite,2022-2025,0.23378445801771486,0.8640131649125649,-0.44650544306430595,-0.38133029852559164,969
guard_balanced_v1,guard balanced,composite,full_sample,0.13763866485090448,4.52837056910788,-0.6744486851583698,-0.5336612936703298,5101
guard_balanced_v1,guard balanced,composite,ex_2008,0.17426738836293199,8.578350965732191,-0.6744486851583696,-0.5336612936703298,4855
guard_balanced_v1,guard balanced,composite,2008,-0.39181883342605395,-0.4228264772416086,-0.5047490027193476,,246
guard_balanced_v1,guard balanced,composite,2014-2015,0.9398894031465277,2.187399497907072,-0.45368774686823754,0.3058320089545825,489
guard_balanced_v1,guard balanced,composite,2016-2018,-0.24035338444226062,-0.6056475557293071,-0.653506042569795,-0.5336612936703298,731
guard_balanced_v1,guard balanced,composite,2022-2025,0.21777781534909835,0.7571048018382396,-0.42502275335096784,-0.35161501545197793,969
guard_strict_v1,guard strict,composite,full_sample,-0.010538000489586419,-0.5439953543815905,-0.8435495727322017,-0.5009392859581546,5101
guard_strict_v1,guard strict,composite,ex_2008,-0.008977724283651956,-0.5248274293623465,-0.843549572732201,-0.5009392859581546,4855
guard_strict_v1,guard strict,composite,2008,-0.0408354503094317,-0.04033887097801114,-0.053167015324919076,,246
guard_strict_v1,guard strict,composite,2014-2015,0.5192966762689208,1.089209425369317,-0.41480904099617155,0.0676282570931821,489
guard_strict_v1,guard strict,composite,2016-2018,-0.32471533465302216,-0.7069281736270364,-0.6779124541161956,-0.5009392859581546,731
guard_strict_v1,guard strict,composite,2022-2025,0.10505720218098458,0.1930209584548508,-0.44892832579315967,-0.3618049878267099,969
