date,strategy,daily_return,entry_pnl,sell_open_pnl,normal_holding_pnl,sell_failed_holding_pnl,suspended_holding_pnl,turnover_rate,holdings,cash_slots,return_events,suspended_positions,is_rebalance,bought,buy_failed,sold,sell_failed
2013-11-13,size_05_30_top100,-0.013073924125643597,0.0,0.0,-0.013073924125643597,0.0,0.0,0.0,100,0,89,11,False,0,0,0,0
2013-11-14,size_05_30_top100,0.029531857826535758,0.0,0.0,0.029175870771519577,0.0,0.0003559870550161826,0.0,100,0,90,10,False,0,0,0,0
2013-11-15,size_05_30_top100,0.0236622355487774,0.0,0.0,0.0236622355487774,0.0,0.0,0.0,100,0,90,10,False,0,0,0,0
2013-11-18,size_05_30_top100,0.016519198255136404,0.0,0.0,0.016519198255136404,0.0,0.0,0.0,100,0,89,11,False,0,0,0,0
2013-11-19,size_05_30_top100,0.004182532383756333,0.0,0.0,0.004182532383756333,0.0,0.0,0.0,100,0,88,12,False,0,0,0,0
2013-11-20,size_05_30_top100,0.005174593885811502,0.0,0.0,0.005174593885811502,0.0,0.0,0.0,100,0,87,13,False,0,0,0,0
2013-11-21,size_05_30_top100,-0.007579682442133366,0.0,0.0,-0.007455458839648894,0.0,-0.00012422360248447227,0.0,100,0,88,12,False,0,0,0,0
2013-11-22,size_05_30_top100,0.001135577459066537,0.0,0.0,0.0005103583914184462,0.0,0.0006252190676480907,0.0,100,0,90,10,False,0,0,0,0
2013-11-25,size_05_30_top100,0.0066970743255110295,0.0,0.0,0.007013530021713562,-0.00031645569620253225,0.0,0.0,100,0,90,10,False,0,0,0,0
2013-11-26,size_05_30_top100,0.011076697533190929,0.0,0.0,0.011207416487439295,-0.00013071895424836665,0.0,0.0,100,0,89,11,False,0,0,0,0
2013-11-27,size_05_30_top100,0.011340307951154446,0.0,0.0,0.011605208613406102,-0.00026490066225165585,0.0,0.0,100,0,89,11,False,0,0,0,0
2013-11-28,size_05_30_top100,0.008861444833301303,0.0,0.0,0.008793417622416949,6.802721088435382e-05,0.0,0.0,100,0,88,12,False,0,0,0,0
2013-11-29,size_05_30_top100,0.02205183198494232,0.0,0.0,0.02171399414710448,0.0003378378378378377,0.0,0.0,100,0,88,12,False,0,0,0,0
2013-12-02,size_05_30_top100,-0.07168324847763434,-0.004834403551368247,-0.005396259874882073,-0.05147555137525564,-0.009977033676128382,0.0,0.34,100,0,105,12,True,17,0,17,22
2013-12-03,size_05_30_top100,0.0014586177087927868,0.0,0.0,0.0020483046442664322,-0.0005896869354736456,0.0,0.0,100,0,88,12,False,0,0,0,0
2013-12-04,size_05_30_top100,0.008186043491818881,0.0,0.0,0.007921292388063196,0.000264751103755686,0.0,0.0,100,0,88,12,False,0,0,0,0
2013-12-05,size_05_30_top100,-0.0038369554622944874,0.0,0.0,-0.004157180741613208,0.00032022527931872103,0.0,0.0,100,0,88,12,False,0,0,0,0
2013-12-06,size_05_30_top100,-0.005335075024029122,0.0,0.0,-0.00359458673142654,-0.001116931710616438,-0.0006235565819861444,0.0,100,0,88,12,False,0,0,0,0
2013-12-09,size_05_30_top100,0.020063630983688262,0.0,0.0,0.016177305790435054,0.0038863251932532063,0.0,0.0,100,0,87,13,False,0,0,0,0
2013-12-10,size_05_30_top100,-0.00802239170304228,0.0,0.0,-0.007041342256253812,-0.0009810494467884668,0.0,0.0,100,0,86,14,False,0,0,0,0
2013-12-11,size_05_30_top100,-0.005873025100825853,0.0,0.0,-0.004065985401766534,-0.001639221337756258,-0.00016781836130306038,0.0,100,0,86,14,False,0,0,0,0
2013-12-12,size_05_30_top100,0.010914935074159325,0.0,0.0,0.009007032054802412,0.0019079030193569135,0.0,0.0,100,0,86,14,False,0,0,0,0
2013-12-13,size_05_30_top100,0.011203881680721948,0.0,0.0,0.010357406415297674,0.0008464752654242746,0.0,0.0,100,0,86,14,False,0,0,0,0
2013-12-16,size_05_30_top100,-0.01393897310711887,0.0,0.0,-0.011066917587453436,-0.002150406035129352,-0.0007216494845360821,0.0,100,0,86,14,False,0,0,0,0
2013-12-17,size_05_30_top100,-0.004147942621440185,0.0,0.0,-0.0028742578650046346,-0.0012736847564355502,0.0,0.0,100,0,86,14,False,0,0,0,0
2013-12-18,size_05_30_top100,-0.0005110421860111081,0.0,0.0,0.0006355955535772973,-0.0011466377395884053,0.0,0.0,100,0,86,14,False,0,0,0,0
2013-12-19,size_05_30_top100,-0.007789286280292963,0.0,0.0,-0.007112780456393981,-0.0006765058238989818,0.0,0.0,100,0,86,14,False,0,0,0,0
2013-12-20,size_05_30_top100,-0.009973139205447356,0.0,0.0,-0.010247542926738183,-0.0017161028417470713,0.0019905065630378992,0.0,100,0,88,12,False,0,0,0,0
2013-12-23,size_05_30_top100,-0.005143144013278531,0.0,0.0,-0.0043062339795806644,0.00014053357532469056,-0.000977443609022557,0.0,100,0,89,11,False,0,0,0,0
2013-12-24,size_05_30_top100,0.016222064652623273,0.0,0.0,0.012531302429431523,0.0036907622231917513,0.0,0.0,100,0,89,11,False,0,0,0,0
2013-12-25,size_05_30_top100,0.032566134977547234,0.0,0.0,0.02582814201909617,0.006737992958451062,0.0,0.0,100,0,89,11,False,0,0,0,0
2013-12-26,size_05_30_top100,-0.011761003382224557,0.0,0.0,-0.00919617935993198,-0.0025648240222925765,0.0,0.0,100,0,89,11,False,0,0,0,0
2013-12-27,size_05_30_top100,0.025790319184134738,0.0,0.0,0.023032031419547096,0.0027582877645876414,0.0,0.0,100,0,89,11,False,0,0,0,0
2013-12-30,size_05_30_top100,0.014503183851943028,0.0,0.0,0.010928199847322692,0.003574984004620335,0.0,0.0,100,0,89,11,False,0,0,0,0
2013-12-31,size_05_30_top100,-0.011125000889254439,0.0,0.0,-0.008756429549310768,-0.0023685713399436703,0.0,0.0,100,0,87,13,False,0,0,0,0
2014-01-02,size_05_30_top100,0.018775323758484855,0.007109136235903028,-0.0012271051258756992,0.012893292648457528,0.0,0.0,0.6,100,0,117,13,True,30,1,30,13
2014-01-03,size_05_30_top100,-0.0024113000551171803,0.0,0.0,-0.0024113000551171803,0.0,0.0,0.0,100,0,85,15,False,0,0,0,0
2014-01-06,size_05_30_top100,-0.02800292687906111,0.0,0.0,-0.02800292687906111,0.0,0.0,0.0,100,0,84,16,False,0,0,0,0
2014-01-07,size_05_30_top100,0.010119476583784606,0.0,0.0,0.011352148357929505,0.0,-0.0012326717741448989,0.0,100,0,86,14,False,0,0,0,0
2014-01-08,size_05_30_top100,0.012121497317929742,0.0,0.0,0.011928224844864523,0.000193272473065218,0.0,0.0,100,0,85,15,False,0,0,0,0
2014-01-09,size_05_30_top100,-0.02445094621470027,0.0,0.0,-0.024439830510100638,-0.0009943793029259895,0.0009832635983263581,0.0,100,0,86,14,False,0,0,0,0
2014-01-10,size_05_30_top100,-0.015336655196734552,0.0,0.0,-0.014931812485451475,-0.0007884744248380615,0.00038363171355498604,0.0,100,0,86,14,False,0,0,0,0
2014-01-13,size_05_30_top100,0.00043585896829558826,0.0,0.0,0.0006920333024360237,-0.00025617433414043544,0.0,0.0,100,0,86,14,False,0,0,0,0
2014-01-14,size_05_30_top100,0.028100272727968455,0.0,0.0,0.02644112062210395,0.0006519578612601884,0.001007194244604317,0.0,100,0,87,13,False,0,0,0,0
2014-01-15,size_05_30_top100,0.013519431810110295,0.0,0.0,0.011710856125232894,0.0018085756848774004,0.0,0.0,100,0,87,13,False,0,0,0,0
2014-01-16,size_05_30_top100,0.004246840533064733,0.0,0.0,0.0034920856954126236,0.0007547548376521096,0.0,0.0,100,0,86,14,False,0,0,0,0
2014-01-17,size_05_30_top100,6.737324375307059e-05,0.0,0.0,-0.0010953754000082316,0.0011627486437613022,0.0,0.0,100,0,86,14,False,0,0,0,0
2014-01-20,size_05_30_top100,-0.003598761484933176,0.0,0.0,-0.00452116052908015,0.0017264926113984358,-0.0008040935672514615,0.0,100,0,87,13,False,0,0,0,0
2014-01-21,size_05_30_top100,0.01969288268303092,0.0,0.0,0.018370627308434164,0.0013222553745967525,0.0,0.0,100,0,87,13,False,0,0,0,0
2014-01-22,size_05_30_top100,0.017589298294189364,0.0,0.0,0.015436411563488506,0.001141828278884116,0.0010110584518167442,0.0,100,0,88,12,False,0,0,0,0
2014-01-23,size_05_30_top100,0.010075474182644022,0.0,0.0,0.007972435682334114,0.0021030385003099083,0.0,0.0,100,0,88,12,False,0,0,0,0
2014-01-24,size_05_30_top100,0.006834030120927356,0.0,0.0,0.005242641902643511,0.0006045461130206875,0.000986842105263157,0.0,100,0,88,12,False,0,0,0,0
2014-01-27,size_05_30_top100,-0.005083782134288335,0.0,0.0,-0.005583845663744024,-0.0005019011070865498,0.0010019646365422386,0.0,100,0,89,11,False,0,0,0,0
2014-01-28,size_05_30_top100,-0.002917787119950804,0.0,0.0,-0.0044328162259672284,0.0005394193499188649,0.0009756097560975597,0.0,100,0,89,11,False,0,0,0,0
2014-01-29,size_05_30_top100,0.016890607171805114,0.0,0.0,0.01358815064913885,0.0023049711915681926,0.0009974853310980713,0.0,100,0,89,11,False,0,0,0,0
2014-01-30,size_05_30_top100,-0.0038448675480444727,0.0,0.0,-0.004923006964763372,0.0020591520749467475,-0.0009810126582278477,0.0,100,0,89,11,False,0,0,0,0
2014-02-07,size_05_30_top100,0.022864943606808463,0.009249948527729644,-0.001190380266747505,0.014805375345826323,0.0,0.0,0.66,100,0,122,11,True,33,0,33,11
2014-02-10,size_05_30_top100,0.026466952253077384,0.0,0.0,0.026466952253077384,0.0,0.0,0.0,100,0,89,11,False,0,0,0,0
2014-02-11,size_05_30_top100,0.0015640561232418471,0.0,0.0,0.0015640561232418471,0.0,0.0,0.0,100,0,89,11,False,0,0,0,0
2014-02-12,size_05_30_top100,0.01885702104017937,0.0,0.0,0.01885702104017937,0.0,0.0,0.0,100,0,89,11,False,0,0,0,0
2014-02-13,size_05_30_top100,-0.020887086640659528,0.0,0.0,-0.020887086640659528,0.0,0.0,0.0,100,0,87,13,False,0,0,0,0
2014-02-14,size_05_30_top100,0.020535443119687236,0.0,0.0,0.020535443119687236,0.0,0.0,0.0,100,0,86,14,False,0,0,0,0
2014-02-17,size_05_30_top100,0.019659182584477505,0.0,0.0,0.019659182584477505,0.0,0.0,0.0,100,0,84,16,False,0,0,0,0
2014-02-18,size_05_30_top100,0.00028116859800024984,0.0,0.0,0.00028116859800024984,0.0,0.0,0.0,100,0,84,16,False,0,0,0,0
2014-02-19,size_05_30_top100,-0.0002652948892159834,0.0,0.0,-0.0007691233083538495,0.0,0.0005038284191378661,0.0,100,0,86,14,False,0,0,0,0
2014-02-20,size_05_30_top100,-0.014993569224923863,0.0,0.0,-0.016373246924365297,0.0,0.001379677699441435,0.0,100,0,89,11,False,0,0,0,0
2014-02-21,size_05_30_top100,-0.002063235557190955,0.0,0.0,-0.00338146095499647,0.0010126582278481,0.00030556716995741476,0.0,100,0,90,10,False,0,0,0,0
