start,end,days,years,final_value,cagr,ann_vol,sharpe,mdd,calmar,worst_12m,period_total_return,strategy,label,period,gold_total_return
2022-01-04,2023-12-29,484,1.9206349206349207,1.112853303912788,0.057251770006533365,0.032545205883314936,1.7591460386454285,-0.022112180476482113,2.5891508106776135,0.018547839368708408,0.11285330391278792,fallback_gold_10,失败权益90%国债/10%黄金,2022-2023 修复期,0.27587153444962786
2024-01-02,2026-05-15,570,2.261904761904762,1.3708443070683523,0.14964346378080973,0.06683853856760152,2.2388799484216433,-0.07025015576248461,2.1301513449557814,0.09027910400591566,0.37084430706835225,fallback_gold_10,失败权益90%国债/10%黄金,2024-2026 黄金强牛,1.0555077452667851
2015-02-02,2015-12-31,224,0.8888888888888888,0.9976667392951376,-0.002624535243514914,0.10154992753737334,-0.025844777117630224,-0.10590727688631218,-0.02478144392601334,,-0.0023332607048623943,fallback_gold_20,失败权益80%国债/20%黄金,2015 黄金弱市,-0.07462686567164134
2016-01-04,2018-12-28,731,2.9007936507936507,1.1335871357704703,0.04417289932902513,0.045186553538172816,0.9775673484747764,-0.05821258833732357,0.7588203959091653,-0.007368488097048709,0.13358713577047032,fallback_gold_20,失败权益80%国债/20%黄金,2016-2018 修复/震荡,0.2661290322580616
2019-01-02,2020-12-31,487,1.9325396825396826,1.133970973634893,0.06722006094477506,0.07021065129540464,0.9574054606323625,-0.09764267306226715,0.6884291348917552,0.02183972165841075,0.13397097363489308,fallback_gold_20,失败权益80%国债/20%黄金,2019-2020 黄金牛市,0.36234961075725525
2021-01-04,2021-12-31,243,0.9642857142857143,1.0399263001378907,0.04143528106063643,0.05481679029571897,0.7558866697066065,-0.042139473405173766,0.9832890093863661,,0.03992630013789067,fallback_gold_20,失败权益80%国债/20%黄金,2021 黄金弱市,-0.05376623376623335
2022-01-04,2023-12-29,484,1.9206349206349207,1.120853991066031,0.06120249364875918,0.035481674070753894,1.7249043415120573,-0.026024524388568393,2.3517238100091147,0.02279587594805932,0.1208539910660309,fallback_gold_20,失败权益80%国债/20%黄金,2022-2023 修复期,0.27587153444962786
2024-01-02,2026-05-15,570,2.261904761904762,1.3831857172578697,0.15420781000590744,0.07018568313301567,2.1971405438008396,-0.07543559494605523,2.0442313753365773,0.09254536482441389,0.38318571725786965,fallback_gold_20,失败权益80%国债/20%黄金,2024-2026 黄金强牛,1.0555077452667851
2015-02-02,2015-12-31,224,0.8888888888888888,0.9968556666754589,-0.0035366791837518896,0.10184305066026954,-0.03472676005699817,-0.10590727688631218,-0.03339410933536128,,-0.0031443333245411154,fallback_gold_30,失败权益70%国债/30%黄金,2015 黄金弱市,-0.07462686567164134
2016-01-04,2018-12-28,731,2.9007936507936507,1.1377328155302129,0.04548775107984593,0.04647603435288534,0.9787356368330498,-0.059822845062371455,0.7603742522178656,-0.007412323345874938,0.13773281553021288,fallback_gold_30,失败权益70%国债/30%黄金,2016-2018 修复/震荡,0.2661290322580616
2019-01-02,2020-12-31,487,1.9325396825396826,1.1365600394391229,0.06848022670113219,0.07076581041234738,0.9677021474367741,-0.09764267306226693,0.7013350265151201,0.023226407330293464,0.13656003943912287,fallback_gold_30,失败权益70%国债/30%黄金,2019-2020 黄金牛市,0.36234961075725525
2021-01-04,2021-12-31,243,0.9642857142857143,1.0392429751390517,0.040725628106146994,0.055276225859995934,0.7367657156857487,-0.042139473405173766,0.9664484345726735,,0.03924297513905173,fallback_gold_30,失败权益70%国债/30%黄金,2021 黄金弱市,-0.05376623376623335
2022-01-04,2023-12-29,484,1.9206349206349207,1.128879987645868,0.06515215650740425,0.03857985469724916,1.6887610650345388,-0.031043207817667673,2.098757218972844,0.027040572863755274,0.12887998764586794,fallback_gold_30,失败权益70%国债/30%黄金,2022-2023 修复期,0.27587153444962786
2024-01-02,2026-05-15,570,2.261904761904762,1.3955779298567894,0.15876814100226078,0.07363689705226222,2.1560949382424206,-0.08060701275508675,1.9696566784413136,0.0948049828481663,0.3955779298567894,fallback_gold_30,失败权益70%国债/30%黄金,2024-2026 黄金强牛,1.0555077452667851
2015-02-02,2015-12-31,224,0.8888888888888888,0.9952268809428915,-0.005368154797964153,0.10252221551650179,-0.05236089340168527,-0.10590727688631218,-0.05068730833034903,,-0.0047731190571085325,fallback_gold_50,失败权益50%国债/50%黄金,2015 黄金弱市,-0.07462686567164134
