pool,n_symbols,avg_exposure,symbols,mode,cagr,sharpe,mdd,calmar,vol,final,removed_a,removed_b,removed_pair,is_ltc_aave_pair,delta_cagr,delta_sharpe,delta_mdd,delta_calmar,delta_final,rank_by_calmar,rank_by_cagr,rank_by_sharpe
BNBUSDT+AAVEUSDT,12,0.18821488276681686,"BTCUSDT, ETHUSDT, SOLUSDT, XRPUSDT, DOGEUSDT, TRXUSDT, ADAUSDT, LINKUSDT, AVAXUSDT, NEARUSDT, LTCUSDT, UNIUSDT",gross,0.38149968681544677,1.6382044996149288,-0.23480170543188073,1.6247739176925406,0.21081438633891408,7.890263245550094,BNBUSDT,AAVEUSDT,BNBUSDT+AAVEUSDT,False,0.007672844068901785,0.014950603842572407,0.01481912083190362,0.12719517660021218,0.2759437222563168,24,29,21
BNBUSDT+LTCUSDT,12,0.18623465009011617,"BTCUSDT, ETHUSDT, SOLUSDT, XRPUSDT, DOGEUSDT, TRXUSDT, ADAUSDT, LINKUSDT, AVAXUSDT, NEARUSDT, AAVEUSDT, UNIUSDT",gross,0.39850244689937586,1.710201791917337,-0.24671509928547286,1.6152333118382454,0.2088303785401418,8.531933143490214,BNBUSDT,LTCUSDT,BNBUSDT+LTCUSDT,False,0.024675604152830877,0.08694789614498055,0.0029057269783114847,0.1176545707459169,0.9176136201964367,25,15,9
SOLUSDT+AAVEUSDT,12,0.20004514701253365,"BTCUSDT, ETHUSDT, XRPUSDT, DOGEUSDT, BNBUSDT, TRXUSDT, ADAUSDT, LINKUSDT, AVAXUSDT, NEARUSDT, LTCUSDT, UNIUSDT",gross,0.38677047062786807,1.6056122380971587,-0.2402957881004768,1.6095599248129335,0.21849857443143478,8.084667912646017,SOLUSDT,AAVEUSDT,SOLUSDT+AAVEUSDT,False,0.012943627881323083,-0.017641657675197653,0.009325038163307542,0.11198118372060506,0.47034838935223977,26,22,37
BTCUSDT+DOGEUSDT,12,0.1856669834898428,"ETHUSDT, SOLUSDT, XRPUSDT, BNBUSDT, TRXUSDT, ADAUSDT, LINKUSDT, AVAXUSDT, NEARUSDT, LTCUSDT, AAVEUSDT, UNIUSDT",gross,0.37436712843152864,1.6011337103664869,-0.23606750844031088,1.5858477556058355,0.21267597836893185,7.633479937848036,BTCUSDT,DOGEUSDT,BTCUSDT+DOGEUSDT,False,0.0005402856849836546,-0.022120185405869464,0.013553317823473465,0.088269014513507,0.019160414554258764,27,38,39
DOGEUSDT+TRXUSDT,12,0.18603423464031338,"BTCUSDT, ETHUSDT, SOLUSDT, XRPUSDT, BNBUSDT, ADAUSDT, LINKUSDT, AVAXUSDT, NEARUSDT, LTCUSDT, AAVEUSDT, UNIUSDT",gross,0.36980151648154225,1.5759008132609293,-0.234460038166177,1.5772475317070451,0.21419394355017854,7.47284027315978,DOGEUSDT,TRXUSDT,DOGEUSDT+TRXUSDT,False,-0.004025326265002738,-0.047353082511427,0.015160788097607347,0.07966879061471666,-0.14147925013399743,28,46,47
BTCUSDT+XRPUSDT,12,0.18257414831679883,"ETHUSDT, SOLUSDT, DOGEUSDT, BNBUSDT, TRXUSDT, ADAUSDT, LINKUSDT, AVAXUSDT, NEARUSDT, LTCUSDT, AAVEUSDT, UNIUSDT",gross,0.3661996002942993,1.5916988505506586,-0.23268747651858523,1.5737830233637442,0.20981943746852444,7.348128971043053,BTCUSDT,XRPUSDT,BTCUSDT+XRPUSDT,False,-0.007627242452245664,-0.03155504522169772,0.01693334974519911,0.07620428227141574,-0.2661905522507242,29,49,43
DOGEUSDT+NEARUSDT,12,0.20491232564429102,"BTCUSDT, ETHUSDT, SOLUSDT, XRPUSDT, BNBUSDT, TRXUSDT, ADAUSDT, LINKUSDT, AVAXUSDT, LTCUSDT, AAVEUSDT, UNIUSDT",gross,0.385594363406079,1.6291645555886096,-0.24642390518908153,1.5647603795184226,0.21424078225675383,8.04094253837106,DOGEUSDT,NEARUSDT,DOGEUSDT+NEARUSDT,False,0.011767520659534014,0.005910659816253272,0.0031969210747028187,0.06718163842609415,0.4266230150772836,30,24,26
XRPUSDT+TRXUSDT,12,0.18294139946726942,"BTCUSDT, ETHUSDT, SOLUSDT, DOGEUSDT, BNBUSDT, ADAUSDT, LINKUSDT, AVAXUSDT, NEARUSDT, LTCUSDT, AAVEUSDT, UNIUSDT",gross,0.36145354676827157,1.5605399783193445,-0.23106081740246365,1.5643221158466205,0.2121029217610494,7.18648798679108,XRPUSDT,TRXUSDT,XRPUSDT+TRXUSDT,False,-0.012373295978273413,-0.0627139174530118,0.018560008861320698,0.06674337475429204,-0.4278315365026977,31,57,58
BTCUSDT+LTCUSDT,12,0.1832262945674204,"ETHUSDT, SOLUSDT, XRPUSDT, DOGEUSDT, BNBUSDT, TRXUSDT, ADAUSDT, LINKUSDT, AVAXUSDT, NEARUSDT, AAVEUSDT, UNIUSDT",gross,0.41273942956913623,1.7257490016302248,-0.264471321101183,1.5606207427353833,0.21334780648209334,9.10256604520627,BTCUSDT,LTCUSDT,BTCUSDT+LTCUSDT,False,0.038912586822591244,0.10249510585786847,-0.014850494837398642,0.06304200164305485,1.488246521912493,32,6,8
TRXUSDT+AAVEUSDT,12,0.18557377839459166,"BTCUSDT, ETHUSDT, SOLUSDT, XRPUSDT, DOGEUSDT, BNBUSDT, ADAUSDT, LINKUSDT, AVAXUSDT, NEARUSDT, LTCUSDT, UNIUSDT",gross,0.3908928980568689,1.6294502885133275,-0.251242525797724,1.5558389122850078,0.2168985986933007,8.23951895440607,TRXUSDT,AAVEUSDT,TRXUSDT+AAVEUSDT,False,0.017066055310323902,0.006196392740971168,-0.0016216995339396467,0.058260171192679344,0.6251994311122919,33,21,25
XRPUSDT+NEARUSDT,12,0.20181949047124703,"BTCUSDT, ETHUSDT, SOLUSDT, DOGEUSDT, BNBUSDT, TRXUSDT, ADAUSDT, LINKUSDT, AVAXUSDT, LTCUSDT, AAVEUSDT, UNIUSDT",gross,0.37729267356696616,1.6179632424434744,-0.24310783475860498,1.5519560442862759,0.21167363937590267,7.737937850355981,XRPUSDT,NEARUSDT,XRPUSDT+NEARUSDT,False,0.0034658308204211785,-0.0052906533288819,0.006512991505179366,0.0543773031939474,0.12361832706220355,34,32,30
TRXUSDT+LTCUSDT,12,0.183593545717891,"BTCUSDT, ETHUSDT, SOLUSDT, XRPUSDT, DOGEUSDT, BNBUSDT, ADAUSDT, LINKUSDT, AVAXUSDT, NEARUSDT, AAVEUSDT, UNIUSDT",gross,0.4079777256542887,1.6977791700244362,-0.26297826444114525,1.5513743180307376,0.21511071755924294,8.908235388386213,TRXUSDT,LTCUSDT,TRXUSDT+LTCUSDT,False,0.03415088290774371,0.07452527425207989,-0.013357438177360903,0.053795576938409084,1.293915865092436,35,9,12
BTCUSDT+AAVEUSDT,12,0.18520652724412112,"ETHUSDT, SOLUSDT, XRPUSDT, DOGEUSDT, BNBUSDT, TRXUSDT, ADAUSDT, LINKUSDT, AVAXUSDT, NEARUSDT, LTCUSDT, UNIUSDT",gross,0.39558923516862143,1.6562679065988228,-0.2555428556421644,1.548034806821457,0.21518242991629738,8.41896920594601,BTCUSDT,AAVEUSDT,BTCUSDT+AAVEUSDT,False,0.02176239242207645,0.03301401082646649,-0.005922029378380045,0.05045606572912864,0.804649682652232,36,17,20
NEARUSDT+LTCUSDT,12,0.2024716367218686,"BTCUSDT, ETHUSDT, SOLUSDT, XRPUSDT, DOGEUSDT, BNBUSDT, TRXUSDT, ADAUSDT, LINKUSDT, AVAXUSDT, AAVEUSDT, UNIUSDT",gross,0.424367464696908,1.7549214989654887,-0.2743867407556809,1.546603394639877,0.21465095431399056,9.59220476309925,NEARUSDT,LTCUSDT,NEARUSDT+LTCUSDT,False,0.05054062195036302,0.1316676031931323,-0.02476591449189658,0.04902465354754848,1.977885239805473,37,2,3
